"Municipal.status","Geographic.area","Full_title","city"
"Lower Tier","Hastings","Tweed, Municipality of","Tweed"
"Lower Tier","Hastings","Tyendinaga, Township of","Tyendinaga"
"Lower Tier","Durham","Uxbridge, Township of","Uxbridge"
"Single Tier","Cochrane","Val Rita-Harty, Township of","Val Rita-Harty"
"Lower Tier","York","Vaughan, City of","Vaughan"
"Lower Tier","Niagara","Wainfleet, Township of","Wainfleet"
"Lower Tier","Lambton","Warwick, Township of","Warwick"
"Lower Tier","Simcoe","Wasaga Beach, Town of","Wasaga Beach"
"Lower Tier","Waterloo","Waterloo, City of","Waterloo"
"Single Tier","Algoma","Wawa, Municipality of","Wawa"
"Lower Tier","Niagara","Welland, City of","Welland"
"Lower Tier","Waterloo","Wellesley, Township of","Wellesley"
"Lower Tier","Wellington","Wellington North, Township of","Wellington North"
"Lower Tier","Elgin","West Elgin, Municipality of","West Elgin"
"Lower Tier","Grey","West Grey, Municipality of","West Grey"
"Lower Tier","Niagara","West Lincoln, Township of","West Lincoln"
"Single Tier","Nipissing","West Nipissing, Municipality of","West Nipissing"
"Lower Tier","Perth","West Perth, Municipality of","West Perth"
"Lower Tier","Leeds and Grenville","Westport, Village of","Westport"
"Lower Tier","Durham","Whitby, Town of","Whitby"
"Lower Tier","York","Whitchurch-Stouffville, Town of","Whitchurch-Stouffville"
"Single Tier","Algoma","White River, Township of","White River"
"Single Tier","Parry Sound","Whitestone, Municipality of","Whitestone"
"Lower Tier","Renfrew","Whitewater Region, Township of","Whitewater Region"
"Lower Tier","Waterloo","Wilmot, Township of","Wilmot"
"Single Tier","Essex","Windsor, City of","Windsor"
"Lower Tier","Hastings","Wollaston, Township of","Wollaston"
"Lower Tier","Oxford","Woodstock, City of","Woodstock"
"Lower Tier","Waterloo","Woolwich, Township of","Woolwich"
"Lower Tier","Oxford","Zorra, Township of","Zorra"
